Adhyaaya # अध्यायः,Paada # पादः,Sutra_num सू. सं.,Sutra_krama सू. क्र. सं,Akaaraadi_krama अकारादि क्र. सं,Kaumudi_krama कौमुदी क्र. सं,Sutra_id पूर्ण सू. सं.,Sutra_type सूत्रलक्षणम्‌,Term संज्ञा,Metarule परिभाषा,Special_case अतिदेशः,Influence अधिकारः,Commentary व्याख्यानम्‌,Sutra_text सूत्रम्‌,PadacCheda पद्च्छेदः,SamasacCheda समासच्छेदः,Anuvrtti pada sutra # अनुवृत्ति-पदम् सूत्र-सङ्ख्या,PadacCheda_notes
2,1,27,21027,3720,689,2.1.27,संज्ञा,तत्पुरुषः,,,,2.1.27,सामि |,सामि ०/०,सामि ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21025: क्तेन,
2,1,28,21028,1062,690,2.1.28,संज्ञा,तत्पुरुषः,,,,2.1.28,कालाः |,कालाः १/३,कालाः १/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21024: द्वितीया | 21025: क्तेन,
2,1,29,21029,120,691,2.1.29,संज्ञा,तत्पुरुषः,,,,2.1.29,अत्यन्तसंयोगे च |,अत्यन्तसंयोगे ७/१ च ०/०,अत्यन्त-संयोगे ७/१ च ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21024: द्वितीया | 21028: कालाः,
2,1,30,21030,1770,692,2.1.30,संज्ञा,तत्पुरुषः,,,,2.1.30,तृतीया तत्कृतार्थेन गुणवचनेन |,तृतीया १/१ तत्कृत ३/१ (लुप्ततृतीयान्तनिर्देशः) अर्थेन ३/१ गुणवचनेन ३/१,तृतीया १/१ तत्कृत ३/१ (लुप्ततृतीयान्तनिर्देशः) अर्थेन ३/१ गुण-वचनेन ३/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः,
2,1,31,21031,2424,693,2.1.31,संज्ञा,तत्पुरुषः,,,,2.1.31,पूर्वसदृशसमोनार्थकलहनिपुणमिश्रश्लक्ष्णैः |,पूर्वसदृशसमोनार्थकलहनिपुणमिश्रश्लक्ष्णैः ३/३,पूर्व-सदृश-सम-ऊनार्थ-कलह-निपुण-मिश्र-श्लक्ष्णैः ३/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21030: तृतीया,
2,1,32,21032,1000,694,2.1.32,संज्ञा,तत्पुरुषः,,,,2.1.32,कर्तृकरणे कृता बहुलम्‌ |,कर्तृकरणे ७/१ कृता ३/१ बहुलम् १/१,कर्तृ-करणे ७/१ कृता ३/१ बहुलम् १/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21022: तत्पुरुषः | 21030: तृतीया,
2,1,33,21033,1150,695,2.1.33,संज्ञा,तत्पुरुषः,,,,2.1.33,कृत्यैरधिकार्थवचने |,कृत्यैः ३/३ अधिकार्थवचने ७/१,कृत्यैः ३/३ अधिक-अर्थ-वचने ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21030: तृतीया | 21032: कर्तृकरणे,
2,1,34,21034,257,696,2.1.34,संज्ञा,तत्पुरुषः,,,,2.1.34,अन्नेन व्यञ्जनम्‌ |,अन्नेन ३/१ व्यञ्जनम् १/१,अन्नेन ३/१ व्यञ्जनम् १/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21030: तृतीया,
2,1,35,21035,2643,697,2.1.35,संज्ञा,तत्पुरुषः,,,,2.1.35,भक्ष्येण मिश्रीकरणम्‌ |,भक्ष्येण ३/१ मिश्रीकरणम् १/१,भक्ष्येण ३/१ मिश्री-करणम् १/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21030: तृतीया,
2,1,36,21036,1389,698,2.1.36,संज्ञा,तत्पुरुषः,,,,2.1.36,चतुर्थी तदर्थार्थबलिहितसुखरक्षितैः |,चतुर्थी १/१ तदर्थार्थबलिहितसुखरक्षितैः ३/३,चतुर्थी १/१ तदर्थ-अर्थ-बलि-हित-सुख-रक्षितैः ३/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः,
